ら戳,丁,秨絃基,程蔼基,程基,Μ絃基,Θユ秖
2019/4/25,09:00:00,20.5,20.6,20.5,20.55,2442
2019/4/25,09:15:00,20.55,20.6,20.5,20.55,423
2019/4/25,09:30:00,20.55,20.6,20.55,20.55,590
2019/4/25,09:45:00,20.55,20.6,20.55,20.6,580
2019/4/25,10:00:00,20.6,20.6,20.55,20.55,387
2019/4/25,10:15:00,20.55,20.6,20.55,20.55,897
2019/4/25,10:30:00,20.6,20.6,20.55,20.55,1010
2019/4/25,10:45:00,20.55,20.6,20.55,20.55,511
2019/4/25,11:00:00,20.55,20.6,20.55,20.55,617
2019/4/25,11:15:00,20.55,20.6,20.55,20.55,689
2019/4/25,11:30:00,20.6,20.6,20.55,20.6,816
2019/4/25,11:45:00,20.6,20.6,20.55,20.55,903
2019/4/25,12:00:00,20.6,20.6,20.55,20.6,870
2019/4/25,12:15:00,20.6,20.6,20.55,20.6,1098
2019/4/25,12:30:00,20.55,20.6,20.55,20.6,894
2019/4/25,12:45:00,20.6,20.6,20.55,20.55,835
2019/4/25,13:00:00,20.6,20.65,20.55,20.6,3267
2019/4/25,13:15:00,20.65,20.65,20.6,20.6,3563
2019/4/26,09:00:00,20.55,20.6,20.5,20.5,1185
2019/4/26,09:15:00,20.5,20.55,20.5,20.5,462
2019/4/26,09:30:00,20.55,20.55,20.5,20.5,560
2019/4/26,09:45:00,20.5,20.55,20.5,20.5,384
2019/4/26,10:00:00,20.5,20.55,20.5,20.55,746
2019/4/26,10:15:00,20.55,20.6,20.5,20.55,1370
2019/4/26,10:30:00,20.5,20.55,20.5,20.55,250
2019/4/26,10:45:00,20.55,20.6,20.5,20.55,724
2019/4/26,11:00:00,20.55,20.55,20.5,20.55,854
2019/4/26,11:15:00,20.55,20.6,20.5,20.55,872
2019/4/26,11:30:00,20.55,20.6,20.55,20.6,873
2019/4/26,11:45:00,20.55,20.55,20.5,20.5,1393
2019/4/26,12:00:00,20.5,20.55,20.5,20.5,319
2019/4/26,12:15:00,20.55,20.55,20.5,20.5,2424
2019/4/26,12:30:00,20.55,20.55,20.45,20.5,1151
2019/4/26,12:45:00,20.55,20.55,20.45,20.5,1514
2019/4/26,13:00:00,20.5,20.5,20.45,20.45,1563
2019/4/26,13:15:00,20.45,20.5,20.45,20.45,4169
2019/4/29,09:00:00,20.6,20.8,20.6,20.75,7721
2019/4/29,09:15:00,20.75,20.8,20.7,20.8,3222
2019/4/29,09:30:00,20.75,20.8,20.75,20.8,2778
2019/4/29,09:45:00,20.75,20.8,20.7,20.7,2861
2019/4/29,10:00:00,20.7,20.8,20.7,20.75,2094
2019/4/29,10:15:00,20.75,20.8,20.75,20.75,1030
2019/4/29,10:30:00,20.8,20.8,20.75,20.8,3362
2019/4/29,10:45:00,20.8,20.95,20.8,20.9,6236
2019/4/29,11:00:00,20.9,20.95,20.85,20.95,1855
2019/4/29,11:15:00,20.9,20.95,20.9,20.9,1205
2019/4/29,11:30:00,20.9,20.95,20.9,20.9,1600
2019/4/29,11:45:00,20.95,20.95,20.85,20.9,2094
2019/4/29,12:00:00,20.9,20.9,20.85,20.9,671
2019/4/29,12:15:00,20.85,20.9,20.85,20.9,954
2019/4/29,12:30:00,20.9,20.9,20.85,20.85,1121
