,日期,時間,outlier
0,2019/4/25,09:15:00,False
1,2019/4/25,09:30:00,False
2,2019/4/25,09:45:00,False
3,2019/4/25,10:00:00,False
4,2019/4/25,10:15:00,False
5,2019/4/25,10:30:00,False
6,2019/4/25,10:45:00,False
7,2019/4/25,11:00:00,False
8,2019/4/25,11:15:00,False
9,2019/4/25,11:30:00,False
10,2019/4/25,11:45:00,False
11,2019/4/25,12:00:00,False
12,2019/4/25,12:15:00,False
13,2019/4/25,12:30:00,False
14,2019/4/25,12:45:00,False
15,2019/4/25,13:00:00,False
16,2019/4/26,09:15:00,False
17,2019/4/26,09:30:00,False
18,2019/4/26,09:45:00,False
19,2019/4/26,10:00:00,False
20,2019/4/26,10:15:00,False
21,2019/4/26,10:30:00,False
22,2019/4/26,10:45:00,False
23,2019/4/26,11:00:00,False
24,2019/4/26,11:15:00,False
25,2019/4/26,11:30:00,False
26,2019/4/26,11:45:00,False
27,2019/4/26,12:00:00,False
28,2019/4/26,12:15:00,False
29,2019/4/26,12:30:00,False
30,2019/4/26,12:45:00,False
31,2019/4/26,13:00:00,False
32,2019/4/29,09:15:00,False
33,2019/4/29,09:30:00,True
34,2019/4/29,09:45:00,False
35,2019/4/29,10:00:00,False
36,2019/4/29,10:15:00,False
37,2019/4/29,10:30:00,False
38,2019/4/29,10:45:00,False
39,2019/4/29,11:00:00,False
40,2019/4/29,11:15:00,False
41,2019/4/29,11:30:00,False
42,2019/4/29,11:45:00,False
43,2019/4/29,12:00:00,False
44,2019/4/29,12:15:00,False
45,2019/4/29,12:30:00,False
46,2019/4/29,12:45:00,False
47,2019/4/29,13:00:00,False
48,2019/4/30,09:15:00,False
49,2019/4/30,09:30:00,False
50,2019/4/30,09:45:00,False
51,2019/4/30,10:00:00,False
52,2019/4/30,10:15:00,False
53,2019/4/30,10:30:00,False
54,2019/4/30,10:45:00,False
55,2019/4/30,11:00:00,False
56,2019/4/30,11:15:00,False
57,2019/4/30,11:30:00,False
58,2019/4/30,11:45:00,False
59,2019/4/30,12:00:00,False
60,2019/4/30,12:15:00,False
61,2019/4/30,12:30:00,False
62,2019/4/30,12:45:00,False
63,2019/4/30,13:00:00,False
64,2019/5/2,09:15:00,False
65,2019/5/2,09:30:00,False
66,2019/5/2,09:45:00,False
67,2019/5/2,10:00:00,False
68,2019/5/2,10:15:00,False
69,2019/5/2,10:30:00,False
70,2019/5/2,10:45:00,True
71,2019/5/2,11:00:00,False
72,2019/5/2,11:15:00,False
73,2019/5/2,11:30:00,False
74,2019/5/2,11:45:00,False
75,2019/5/2,12:00:00,False
76,2019/5/2,12:15:00,False
77,2019/5/2,12:30:00,False
78,2019/5/2,12:45:00,False
79,2019/5/2,13:00:00,False
80,2019/5/3,09:15:00,False
81,2019/5/3,09:30:00,False
82,2019/5/3,09:45:00,False
83,2019/5/3,10:00:00,False
84,2019/5/3,10:15:00,False
85,2019/5/3,10:30:00,False
86,2019/5/3,10:45:00,False
87,2019/5/3,11:00:00,False
88,2019/5/3,11:15:00,False
89,2019/5/3,11:30:00,False
90,2019/5/3,11:45:00,False
91,2019/5/3,12:00:00,False
92,2019/5/3,12:15:00,False
93,2019/5/3,12:30:00,False
94,2019/5/3,12:45:00,False
95,2019/5/3,13:00:00,False
96,2019/5/6,09:15:00,False
97,2019/5/6,09:30:00,False
98,2019/5/6,09:45:00,False
99,2019/5/6,10:00:00,False
100,2019/5/6,10:15:00,False
101,2019/5/6,10:30:00,False
102,2019/5/6,10:45:00,False
103,2019/5/6,11:00:00,False
104,2019/5/6,11:15:00,False
105,2019/5/6,11:30:00,False
106,2019/5/6,11:45:00,False
107,2019/5/6,12:00:00,False
108,2019/5/6,12:15:00,False
109,2019/5/6,12:30:00,False
110,2019/5/6,12:45:00,False
111,2019/5/6,13:00:00,False
112,2019/5/7,09:15:00,False
113,2019/5/7,09:30:00,False
114,2019/5/7,09:45:00,False
115,2019/5/7,10:00:00,False
116,2019/5/7,10:15:00,False
117,2019/5/7,10:30:00,False
118,2019/5/7,10:45:00,False
119,2019/5/7,11:00:00,False
120,2019/5/7,11:15:00,False
121,2019/5/7,11:30:00,False
122,2019/5/7,11:45:00,False
123,2019/5/7,12:00:00,False
124,2019/5/7,12:15:00,False
125,2019/5/7,12:30:00,False
126,2019/5/7,12:45:00,False
127,2019/5/7,13:00:00,False
128,2019/5/8,09:15:00,False
129,2019/5/8,09:30:00,False
130,2019/5/8,09:45:00,False
131,2019/5/8,10:00:00,False
132,2019/5/8,10:15:00,False
133,2019/5/8,10:30:00,False
134,2019/5/8,10:45:00,False
135,2019/5/8,11:00:00,False
136,2019/5/8,11:15:00,False
137,2019/5/8,11:30:00,False
138,2019/5/8,11:45:00,False
139,2019/5/8,12:00:00,False
140,2019/5/8,12:15:00,False
141,2019/5/8,12:30:00,False
142,2019/5/8,12:45:00,False
143,2019/5/8,13:00:00,False
144,2019/5/9,09:15:00,False
145,2019/5/9,09:30:00,False
146,2019/5/9,09:45:00,True
147,2019/5/9,10:00:00,False
148,2019/5/9,10:15:00,False
149,2019/5/9,10:30:00,False
150,2019/5/9,10:45:00,True
151,2019/5/9,11:00:00,False
152,2019/5/9,11:15:00,False
153,2019/5/9,11:30:00,False
154,2019/5/9,11:45:00,False
155,2019/5/9,12:00:00,False
156,2019/5/9,12:15:00,False
157,2019/5/9,12:30:00,False
158,2019/5/9,12:45:00,False
159,2019/5/9,13:00:00,False
160,2019/5/10,09:15:00,False
161,2019/5/10,09:30:00,False
162,2019/5/10,09:45:00,False
163,2019/5/10,10:00:00,False
164,2019/5/10,10:15:00,False
165,2019/5/10,10:30:00,False
166,2019/5/10,10:45:00,False
167,2019/5/10,11:00:00,False
168,2019/5/10,11:15:00,False
169,2019/5/10,11:30:00,False
170,2019/5/10,11:45:00,False
171,2019/5/10,12:00:00,False
172,2019/5/10,12:15:00,False
173,2019/5/10,12:30:00,False
174,2019/5/10,12:45:00,False
175,2019/5/10,13:00:00,False
176,2019/5/13,09:15:00,False
177,2019/5/13,09:30:00,False
178,2019/5/13,09:45:00,False
179,2019/5/13,10:00:00,False
180,2019/5/13,10:15:00,False
181,2019/5/13,10:30:00,False
182,2019/5/13,10:45:00,False
183,2019/5/13,11:00:00,False
184,2019/5/13,11:15:00,False
185,2019/5/13,11:30:00,False
186,2019/5/13,11:45:00,False
187,2019/5/13,12:00:00,False
188,2019/5/13,12:15:00,False
189,2019/5/13,12:30:00,False
190,2019/5/13,12:45:00,False
191,2019/5/13,13:00:00,False
192,2019/5/14,09:15:00,False
193,2019/5/14,09:30:00,False
194,2019/5/14,09:45:00,False
195,2019/5/14,10:00:00,False
196,2019/5/14,10:15:00,False
197,2019/5/14,10:30:00,False
198,2019/5/14,10:45:00,False
199,2019/5/14,11:00:00,False
200,2019/5/14,11:15:00,False
201,2019/5/14,11:30:00,False
202,2019/5/14,11:45:00,False
203,2019/5/14,12:00:00,False
204,2019/5/14,12:15:00,False
205,2019/5/14,12:30:00,False
206,2019/5/14,12:45:00,False
207,2019/5/14,13:00:00,False
208,2019/5/15,09:15:00,False
209,2019/5/15,09:30:00,False
210,2019/5/15,09:45:00,False
211,2019/5/15,10:00:00,False
